client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
10785,1,1,1,1,1,1,1,1,1,1,1
10787,0,1,1,1,1,1,1,1,1,1,1
10787,0,1,1,1,1,1,1,1,1,1,1
10789,1,1,1,1,1,1,1,1,1,1,1
10798,1,1,1,1,1,1,1,1,1,1,1
10807,1,1,1,1,1,1,1,1,1,1,1
10808,1,1,1,1,1,1,1,1,1,1,1
10815,0,1,1,1,1,1,1,1,1,1,1
10821,1,1,1,1,1,1,1,1,1,1,1
10825,1,1,1,0,0,0,1,1,1,1,1
10834,1,1,1,0,0,1,1,1,1,1,1
10836,0,1,1,1,1,1,1,1,1,1,1
10840,0,1,1,1,1,1,1,1,1,1,1
10843,0,0,1,1,1,1,1,1,1,1,1
10850,1,1,1,1,1,1,1,1,1,1,1
10853,1,1,1,1,1,1,1,1,1,1,1
10854,1,1,1,1,1,1,1,1,1,1,1
10855,0,1,1,1,1,1,1,1,1,1,1
10855,0,1,1,1,1,1,1,1,1,1,1
10856,1,1,1,1,1,1,1,1,1,1,1
10863,1,1,1,1,1,1,1,1,1,1,1
10867,0,1,1,1,1,1,1,1,1,1,1
10868,1,1,1,1,1,1,1,1,1,1,1
10871,1,1,1,1,1,1,1,1,1,1,1
10874,1,1,1,1,1,1,1,1,1,1,1
10875,0,1,1,1,1,0,0,0,0,0,1
10875,0,1,1,1,1,0,0,0,0,0,1
10875,0,1,1,1,1,0,0,0,0,0,1
10875,0,1,1,1,1,0,0,0,0,0,1
10875,0,1,1,1,1,0,0,0,0,0,1
10875,0,1,1,1,1,0,0,0,0,0,1
10877,1,1,1,1,1,1,1,1,1,1,1
10879,0,1,1,1,1,1,1,1,1,1,1
10880,1,1,1,1,1,1,1,1,1,1,1
10883,1,1,1,1,1,1,1,1,1,1,1
10885,1,1,1,1,1,1,1,1,1,1,1
10889,1,1,1,1,1,1,1,1,1,1,1
10890,1,1,1,1,1,1,1,1,1,1,1
10895,1,1,1,1,1,1,1,0,0,0,0
10898,1,1,1,1,1,1,1,1,1,1,1
10899,1,1,1,1,1,1,1,1,1,1,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10903,1,1,1,1,1,0,1,1,0,0,1
10909,1,1,1,1,1,1,1,1,1,1,1
10918,1,1,1,1,1,1,1,1,1,1,1
10922,1,1,1,1,1,1,1,1,1,1,1
10923,0,1,1,0,0,1,1,1,1,1,1
10928,1,1,1,1,1,1,1,1,1,1,1
10928,1,1,1,1,1,1,1,1,1,1,1
10928,1,1,1,1,1,1,1,1,1,1,1
10928,1,1,1,1,1,1,1,1,1,1,1
10930,0,1,1,0,0,1,1,1,1,1,1
10930,0,1,1,0,0,1,1,1,1,1,1
